team,player,note
OpTic Texas,Shotzzy,"Former league MVP; engine of the team"
OpTic Texas,Dashy,"Major 4 Player of the Week (1.13 K/D)"
OpTic Texas,Huke,
OpTic Texas,Mercules,"2025 mid-season signing that sparked the championship turnaround"
LA Thieves,HyDra,"Star player, returning"
LA Thieves,Scrap,"Returning"
LA Thieves,Kenny,"Returned to LA Thieves for 2026"
LA Thieves,aBeZy,"Signed from Atlanta FaZe organization"
FaZe Vegas,Simp,"Generational talent, multi-time world champion"
FaZe Vegas,Drazah,
FaZe Vegas,Abuzah,
FaZe Vegas,04,
Paris Gentle Mates,Sib,
Paris Gentle Mates,Estreal,
Paris Gentle Mates,Ghosty,
Paris Gentle Mates,JoeDeceives,
Toronto KOI,CleanX,
Toronto KOI,Insight,
Toronto KOI,Kips,
Toronto KOI,Abe,
G2 Minnesota,Envoy,
G2 Minnesota,Skyz,
G2 Minnesota,Kremp,
G2 Minnesota,Nastie,
Riyadh Falcons,Cellium,"Longtime Atlanta FaZe star"
Riyadh Falcons,KiSMET,
Riyadh Falcons,Pred,
Riyadh Falcons,Exnid,
Miami Heretics,MettalZ,
Miami Heretics,ReeaL,
Miami Heretics,RenKoR,
Miami Heretics,SupeR,
